ticker,index,name
CBZ,RUSSELL2000,Cbiz Inc
CCBG,RUSSELL2000,Capital City Bank Group
CCC,RUSSELL2000,Calgon Carbon Corp
CCE,SP500,
CCF,RUSSELL2000,Chase Corp
CCG,RUSSELL2000,Campus Crest Communities
CCI,SP500,
CCL,SP500,
CCMP,RUSSELL2000,Cabot Microelectronics Corp
CCNE,RUSSELL2000,Cnb Financial Corp
CCOI,RUSSELL2000,Cogent Communications Group
CCRN,RUSSELL2000,Cross Country Healthcare
CCS,RUSSELL2000,Century Communities Inc
CCXI,RUSSELL2000,Chemocentryx Inc
CDE,RUSSELL2000,Coeur Mining Inc
CDI,RUSSELL2000,Cdi Corp
CDR,RUSSELL2000,Cedar Shopping Centers Inc
CDRB,RUSSELL2000,Code Rebel Corp
CDTX,RUSSELL2000,Cidara Therapeutics Inc
CEB,RUSSELL2000,The Corporate Executive Board Company
CECE,RUSSELL2000,Ceco Environmental
CECO,RUSSELL2000,Career Education Corp
CELG,SP500,
CEMP,RUSSELL2000,Cempra Inc
CENTA,RUSSELL2000,Central Garden & Pet Company
CENX,RUSSELL2000,Century Aluminum Company
CERN,SP500,
CERS,RUSSELL2000,Cerus Corp
CETV,RUSSELL2000,Central European Media Enterprises
CEVA,RUSSELL2000,Ceva Inc
CF,SP500,
CFFN,RUSSELL2000,Capitol Federal Financial
CFI,RUSSELL2000,Culp Inc
CFN,SP500,
CFNL,RUSSELL2000,Cardinal Financial Corp
CGI,RUSSELL2000,Celadon Group
CHCO,RUSSELL2000,City Holding Company
CHDN,RUSSELL2000,Churchill Downs Inc
CHE,RUSSELL2000,Chemed Inc
CHEF,RUSSELL2000,The Chefs' Warehouse Inc
CHFC,RUSSELL2000,Chemical Financial Corp
CHFN,RUSSELL2000,Charter Financial
CHGG,RUSSELL2000,Chegg Inc
CHK,SP500,
CHKE,RUSSELL2000,Cherokee Inc
CHMT,RUSSELL2000,Chemtura Corp
CHRS,RUSSELL2000,Coherus Biosciences Inc
CHRW,SP500,
CHS,RUSSELL2000,Chico's Fas
CHSP,RUSSELL2000,Chesapeake Lodging Trust
CHUY,RUSSELL2000,Chuy's Holding Inc
CI,SP500,
CIA,RUSSELL2000,Citizens Inc
CIEN,RUSSELL2000,Ciena Corp
CIFC,RUSSELL2000,Cifc Corp
CINF,SP500,
CIR,RUSSELL2000,Circor International
CIVI,RUSSELL2000,Civitas Solutions Inc
CJES,RUSSELL2000,C&J Energy Services Inc
CKEC,RUSSELL2000,Carmike Cinemas
CKH,RUSSELL2000,Seacor Smit Inc
CKP,RUSSELL2000,Checkpoint Systms
CL,SP500,
CLC,RUSSELL2000,Clarcor Inc
CLCT,RUSSELL2000,Collectors Universe
CLD,RUSSELL2000,Cloud Peak Energy Inc
CLDT,RUSSELL2000,Chatham Lodging Trust [Reit]
CLDX,RUSSELL2000,Celldex Therapeutics Inc
CLF,BOTH,Cliffs Natural Resources Inc
CLFD,RUSSELL2000,Clearfield
CLI,RUSSELL2000,Mack-Cali Realty Corp
CLMS,RUSSELL2000,Calamos Asset Management
CLNE,RUSSELL2000,Clean Energy Fuels
CLNY,RUSSELL2000,Colony Financial Inc
CLVS,RUSSELL2000,Clovis Oncology Inc
CLW,RUSSELL2000,Clearwater Paper Corp
CLX,SP500,
CMA,SP500,
CMC,RUSSELL2000,Commercial Metals Company
CMCO,RUSSELL2000,Columbus Mckinnon Corp
CMCSA,SP500,
CME,SP500,
CMG,SP500,
CMI,SP500,
CMLS,RUSSELL2000,Cumulus Media Inc
CMN,RUSSELL2000,Cantel Medical
CMO,RUSSELL2000,Capstead Mortgage Corp
CMPR,RUSSELL2000,Cimpress N.V.
CMRX,RUSSELL2000,Chimerix Inc
CMS,SP500,
CMT,RUSSELL2000,Core Molding Technologies Inc
CMTL,RUSSELL2000,Comtech Telecommunications
CNBKA,RUSSELL2000,Century Bancorp
